HHID,REGIONC,DIVISION,STATE_FIPS,state_postal,state_name,HHSEX,HHAGE,EMPLOYHH,EDUCATION,SDESCENT,HOUSEHOLDER_RACE,NHSLDMEM,NUMCHILD,NUMADULT1,NUMADULT2,ATHOME,MONEYPY
217610,SOUTH,South Atlantic,51,VA,Virginia,1,48,4,4,0,1,2,1,1,0,5,9
72364,MIDWEST,East North Central,17,IL,Illinois,2,72,3,4,0,1,2,0,0,2,5,11
216582,WEST,Pacific,53,WA,Washington,2,90,3,3,0,1,3,0,2,1,5,11
63587,SOUTH,South Atlantic,51,VA,Virginia,1,41,2,5,0,2,4,2,2,0,5,15
85867,SOUTH,South Atlantic,45,SC,South Carolina,1,27,1,2,0,1,3,2,1,0,2,1
378348,MIDWEST,West North Central,31,NE,Nebraska,1,28,1,1,0,1,3,1,2,0,1,13
164488,SOUTH,South Atlantic,11,DC,District of Columbia,2,66,1,5,0,1,1,0,0,1,5,16
334833,MIDWEST,East North Central,18,IN,Indiana,1,27,1,3,0,1,3,1,2,0,5,11
244759,WEST,Pacific,2,AK,Alaska,1,79,3,4,0,1,1,0,0,1,5,7
357330,SOUTH,South Atlantic,45,SC,South Carolina,2,68,3,3,0,1,2,0,0,2,5,13
229471,SOUTH,West South Central,48,TX,Texas,2,62,3,2,0,1,3,0,3,0,5,16
201929,WEST,Mountain North,49,UT,Utah,1,28,4,4,0,1,5,3,2,0,5,13
433559,SOUTH,West South Central,48,TX,Texas,2,37,1,5,0,1,2,0,2,0,5,13
126894,SOUTH,East South Central,1,AL,Alabama,2,36,1,3,0,1,3,0,2,1,5,13
478702,SOUTH,South Atlantic,13,GA,Georgia,2,30,1,3,1,1,2,0,2,0,3,9
433981,WEST,Pacific,41,OR,Oregon,1,48,2,3,0,1,1,0,1,0,5,8
252400,WEST,Mountain South,32,NV,Nevada,2,60,1,4,0,1,1,0,1,0,5,16
118587,MIDWEST,East North Central,17,IL,Illinois,2,68,3,5,0,1,1,0,0,1,5,15
205816,MIDWEST,East North Central,17,IL,Illinois,2,64,3,5,0,1,2,0,1,1,5,14
464506,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,1,63,1,5,0,2,2,0,1,1,5,16
348369,NORTHEAST,New England,50,VT,Vermont,2,72,2,5,0,1,2,0,1,1,5,14
258794,MIDWEST,West North Central,19,IA,Iowa,1,36,1,3,0,1,4,2,2,0,1,14
301806,SOUTH,South Atlantic,11,DC,District of Columbia,2,44,4,2,0,2,4,2,2,0,0,11
193014,NORTHEAST,New England,50,VT,Vermont,1,42,1,5,0,1,2,0,2,0,5,14
406860,SOUTH,West South Central,48,TX,Texas,2,39,1,5,0,1,3,1,2,0,5,15
485256,WEST,Pacific,6,CA,California,1,65,2,3,0,2,1,0,0,1,1,7
32375,WEST,Pacific,6,CA,California,2,54,1,4,0,4,4,2,2,0,5,15
57544,MIDWEST,West North Central,38,ND,North Dakota,1,32,1,5,0,1,4,2,2,0,5,16
