DOEID,time,HDD65,CDD65
110053,Feb,875,0
115109,Mar,384,77
118050,Mar,488,89
112472,Aug,380,62
102065,Jan,299,144
115790,Dec,458,70
114800,Mar,329,80
110966,Oct,324,130
1161774,Feb,234,111
1012294,May,0,296
114247,Jan,83,295
118078,Jun,481,51
111050,Jun,535,56
112051,Feb,174,174
1148898,May,321,97
1134263,Sep,487,120
109295,May,574,20
103294,Oct,84,80
112911,Sep,535,55
109560,Aug,280,140
1156382,Sep,334,117
116617,Feb,166,338
109229,Nov,457,67
103002,Dec,634,50
107671,Apr,342,22
112260,Aug,248,144
115143,Nov,0,438
105094,Mar,357,27
107666,Jul,359,109
111404,Jun,37,333
114628,Oct,113,235
100713,Jul,398,130
111167,Oct,293,128
110473,Jan,187,178
111090,Dec,160,202
105228,Oct,380,97
105458,Nov,526,80
116236,Nov,249,129
116584,Jan,100,360
109737,Nov,631,33
102275,Aug,250,165
111740,Sep,216,153
1051412,Feb,485,55
114697,Feb,392,107
113450,Apr,195,44
106636,Aug,627,97
108521,Apr,404,85
1120408,Jul,548,66
1116194,Sep,526,67
1074145,May,0,415
108140,Sep,612,49
117485,Jun,471,66
115641,Jan,515,68
113293,Jul,40,362
114055,Sep,64,315
108167,Jun,470,88
108397,Sep,70,116
118236,Sep,543,60
116730,Jul,245,127
1095278,Apr,718,25
103520,Sep,433,82
113336,Sep,75,301
101076,Jan,23,312
102479,Aug,457,96
108691,Nov,481,54
112449,Feb,151,198
1149107,Sep,103,389
103490,Sep,102,249
106008,Mar,625,65
1067628,Dec,372,17
114480,Jun,519,50
100779,Feb,577,27
113748,Aug,600,55
1059148,Dec,688,27
1156831,Sep,0,400
1126914,May,204,178
115354,Nov,362,27
106015,Jun,90,289
107861,Jan,553,13
112013,Jun,627,30
106361,Nov,356,23
101423,May,318,121
1158973,Apr,285,147
116494,Oct,658,52
103541,Jun,493,72
111559,Feb,493,65
1153826,Oct,426,86
115318,Jan,609,46
107283,Nov,815,0
1115795,May,538,50
111411,Sep,594,28
108444,Oct,175,171
114958,Jan,124,148
117030,Aug,253,133
1117918,Nov,580,25
106383,Oct,134,207
100438,Mar,599,45
103618,Feb,79,119
105930,Mar,509,89
101564,May,487,78
104430,Oct,31,327
108665,Jan,470,70
117088,Oct,285,145
1094771,Nov,476,72
113667,May,77,434
1188228,Jun,414,98
103073,Jun,861,0
1142423,May,374,24
102256,Dec,397,100
103369,Dec,396,90
102646,Apr,509,39
106722,Dec,551,61
103774,Jul,106,328
105129,Mar,449,113
106357,Aug,152,218
102518,Jun,198,57
111373,Jun,48,314
103334,Apr,583,80
101541,Sep,521,74
105952,May,387,16
1092633,Aug,466,90
100014,Jul,860,16
1065873,May,449,75
1195079,Dec,180,110
115350,Oct,386,108
1186275,Nov,20,366
102577,Jun,166,188
110319,Sep,116,292
102654,Jan,161,215
101410,Feb,740,58
101588,Jan,248,160
118190,May,211,152
104868,Aug,340,117
1196608,Jul,311,123
114607,May,321,117
105643,Jul,453,119
100548,Jan,77,299
111102,Nov,393,73
105749,Aug,90,77
105496,Jul,50,311
106709,Jan,78,261
102982,May,65,416
116837,Jul,390,26
113786,Sep,563,52
112228,Jan,705,42
106667,Dec,189,208
100275,Dec,363,103
104106,Mar,338,119
103309,Aug,459,63
101714,May,503,85
107624,Mar,360,123
117436,Apr,384,97
112935,Jul,458,34
108800,Apr,18,402
102279,Feb,22,382
109898,Feb,10,393
